node_id,feat
46606,"0.2276971822667382, 0.1202971651375501"
46784,"0.19619622589312952, 0.0"
53305,"0.07589906075557941, 0.0"
53396,"0.15179812151115882, 0.0"
53559,"0.15179812151115882, 0.0"
53562,"0.1202971651375501, 0.0"
54554,"0.07589906075557941, 0.0"
54775,"0.15179812151115882, 0.0"
54963,"0.19619622589312952, 0.0"
62529,"0.1202971651375501, 0.0"
62659,"0.1202971651375501, 0.0"
62872,"0.1202971651375501, 0.0"
63011,"0.07589906075557941, 0.0"
63321,"0.1202971651375501, 0.0"
63474,"0.21307560179172497, 0.17623216154394267"
393463,"0.15179812151115882, 0.0"
393520,"0.07589906075557941, 0.0"
393571,"0.1202971651375501, 0.0"
393587,"0.1202971651375501, 0.0"
393759,"0.1202971651375501, 0.0"
393832,"0.15179812151115882, 0.0"
393924,"0.1202971651375501, 0.0"
393961,"0.07589906075557941, 0.0"
394302,"0.07589906075557941, 0.0"
395273,"0.17623216154394267, 0.0"
395288,"0.07589906075557941, 0.0"
