,src_id,dst_id
6298,6939,58717
6311,6939,58952
6332,6939,59318
6335,6939,59378
6339,6939,59432
6345,6939,59507
6353,6939,59605
6362,6939,59689
6374,6939,59796
6412,6939,60068
6419,6939,60144
6424,6939,60171
6435,6939,60268
6438,6939,60280
6441,6939,60299
6451,6939,60388
6494,6939,60725
6543,6939,61135
6563,6939,61292
6565,6939,61297
6567,6939,61317
6576,6939,61400
6584,6939,61461
6585,6939,61568
6654,6939,62000
6690,6939,62240
6705,6939,62416
6744,6939,62874
6752,6939,62955
6756,6939,63023
6812,6939,63956
6815,6939,64049
6816,6939,64050
6820,6939,64098
6822,6939,64200
6835,6939,64313
10208,4,174
10219,55846,9230
10224,9,35104
10226,9,174
10229,9,2828
10230,9,3356
10231,9,12389
10234,35104,3216
10236,35104,4809
10237,35104,6453
10240,35104,12389
10241,35104,13194
10242,35104,20495
10243,35104,24482
10244,35104,25091
10245,35104,31133
10246,35104,31500
10262,35104,41327
10273,35104,56655
10291,35104,35168
10292,35104,41798
10293,35104,43727
10294,35104,59796
10296,328075,30844
10302,131401,7552
10305,12,3257
10306,12,3356
10309,12,6461
10310,394666,6461
10312,394666,55002
10314,18,174
10358,2153,11096
10360,2153,17579
10370,7575,42
10375,7575,703
10376,7575,714
10378,7575,852
10380,7575,1103
10381,7575,1221
10382,7575,1239
10384,7575,1280
10392,7575,2497
10393,7575,2516
10395,7575,2603
10398,7575,2647
10399,7575,2687
10401,7575,2764
10404,7575,2914
10407,7575,3223
10408,7575,3257
10409,7575,3292
10410,7575,3303
10411,7575,3327
10412,7575,3356
10413,7575,3361
10414,7575,3491
10418,7575,3741
10420,7575,3786
10425,7575,4134
10429,7575,4258
10432,7575,4628
10433,7575,4637
10434,7575,4648
10435,7575,4651
10438,7575,4764
10439,7575,4766
10441,7575,4775
10443,7575,4780
10444,7575,4788
10447,7575,4809
10448,7575,4817
10449,7575,4826
10450,7575,4844
10460,7575,6130
10463,7575,6391
10465,7575,6453
10467,7575,6461
10470,7575,6621
10471,7575,6660
10472,7575,6661
10474,7575,6762
10479,7575,7473
10484,7575,7545
10492,7575,7600
10501,7575,7713
10507,7575,8075
10508,7575,8220
10511,7575,8359
10513,7575,8468
10516,7575,8674
10517,7575,8681
10523,7575,9002
10524,7575,9009
10525,7575,9044
10526,7575,9116
10531,7575,9268
10536,7575,9299
10537,7575,9304
10539,7575,9318
10543,7575,9381
10544,7575,9498
10546,7575,9505
10554,7575,9680
10555,7575,9723
10563,7575,9924
10573,7575,10158
10577,7575,10310
10589,7575,11404
10591,7575,11796
10592,7575,11845
10596,7575,12189
10599,7575,13030
10607,7575,13335
10612,7575,13768
10613,7575,13786
10622,7575,14537
10628,7575,15169
10634,7575,15412
10637,7575,15695
10639,7575,15802
10640,7575,15830
10642,7575,16164
10644,7575,16265
10650,7575,16637
10653,7575,16713
10658,7575,17408
10661,7575,17457
10667,7575,17579
10683,7575,17993
10685,7575,18106
10701,7575,19151
10706,7575,19551
10715,7575,20473
10720,7575,20804
10721,7575,20940
10722,7575,20965
10731,7575,21859
10739,7575,22822
10742,7575,23033
10747,7575,23576
10756,7575,23855
10763,7575,23947
10785,7575,24482
10788,7575,24516
10795,7575,25192
10805,7575,25899
10814,7575,26803
10815,7575,27008
10820,7575,27822
10821,7575,28716
10832,7575,29791
10833,7575,29802
10834,7575,29838
10844,7575,30844
10848,7575,31529
10856,7575,32097
10857,7575,32098
10868,7575,32787
10870,7575,32934
10875,7575,33438
10877,7575,33763
10880,7575,34309
10881,7575,34655
10886,7575,35228
10887,7575,35266
10888,7575,35280
10893,7575,35908
10894,7575,35916
10896,7575,36149
10897,7575,36236
10898,7575,36351
10906,7575,36994
10908,7575,37468
10909,7575,37529
10910,7575,37721
10913,7575,38001
10916,7575,38040
10918,7575,38082
10927,7575,38195
10928,7575,38220
10934,7575,38456
10942,7575,38622
10952,7575,38880
10959,7575,39356
10960,7575,39386
10963,7575,40065
10968,7575,40676
10969,7575,40861
10971,7575,41095
10982,7575,42473
10990,7575,44356
10999,7575,45147
11002,7575,45177
11006,7575,45259
11014,7575,45430
11017,7575,45474
11025,7575,45671
11027,7575,45758
11031,7575,45796
11042,7575,46562
11057,7575,49544
11060,7575,50245
11088,7575,55039
11091,7575,55195
11111,7575,55805
11138,7575,58453
11151,7575,58601
11158,7575,58715
11175,7575,59318
11185,7575,60068
11189,7575,60725
11198,7575,61292
11209,7575,62955
11210,7575,63023
11221,7575,63956
11226,7575,64049
