node_id,feat
15169,"753, 753"
15599,"412, 412"
15632,"416, 416"
15672,"422, 422"
15682,"412, 412"
15754,"412, 412"
15757,"417, 417"
15930,"411, 411"
16143,"425, 425"
16276,"689, 689"
20483,"413, 413"
20655,"411, 411"
20940,"923, 923"
20985,"412, 412"
21030,"473, 473"
21367,"427, 427"
21416,"425, 425"
21446,"416, 416"
21453,"434, 434"
21859,"786, 786"
24429,"584, 584"
24638,"422, 422"
24663,"420, 420"
24689,"412, 412"
24739,"461, 461"
24936,"416, 416"
25189,"418, 418"
25292,"412, 412"
25355,"415, 415"
25371,"412, 412"
25408,"458, 458"
25451,"411, 411"
25532,"409, 409"
25549,"494, 494"
26415,"506, 506"
28748,"457, 457"
28761,"465, 465"
28891,"416, 416"
28917,"699, 699"
28968,"440, 440"
29124,"420, 420"
29182,"426, 426"
29226,"672, 672"
29319,"407, 407"
29329,"426, 426"
29388,"412, 412"
29470,"426, 426"
29479,"414, 414"
30124,"410, 410"
30833,"411, 411"
30968,"425, 425"
31059,"489, 489"
31214,"417, 417"
31294,"415, 415"
31370,"419, 419"
31430,"432, 432"
31499,"466, 466"
31500,"705, 705"
31514,"404, 404"
31529,"493, 493"
32590,"582, 582"
34102,"422, 422"
34123,"457, 457"
34139,"414, 414"
34352,"443, 443"
34456,"414, 414"
34602,"430, 430"
34879,"475, 475"
35000,"517, 517"
35032,"418, 418"
35087,"412, 412"
35168,"435, 435"
35237,"415, 415"
35271,"413, 413"
35522,"413, 413"
35539,"419, 419"
35723,"411, 411"
35768,"413, 413"
35770,"412, 412"
35807,"434, 434"
35810,"419, 419"
36236,"767, 767"
38040,"622, 622"
38934,"95, 95"
39045,"421, 421"
39063,"502, 502"
39087,"425, 425"
39134,"428, 428"
39153,"430, 430"
39337,"414, 414"
39360,"410, 410"
39442,"421, 421"
39684,"445, 445"
39709,"415, 415"
39821,"411, 411"
40676,"567, 567"
41082,"464, 464"
41268,"447, 447"
41275,"445, 445"
41446,"411, 411"
41475,"414, 414"
41601,"411, 411"
41617,"413, 413"
41722,"420, 420"
41750,"415, 415"
41798,"461, 461"
41802,"416, 416"
42291,"427, 427"
42377,"416, 416"
42498,"466, 466"
42511,"416, 416"
42518,"425, 425"
42574,"447, 447"
42632,"411, 411"
42861,"559, 559"
42893,"463, 463"
42909,"456, 456"
43045,"413, 413"
43201,"430, 430"
43226,"422, 422"
43267,"431, 431"
43399,"415, 415"
43404,"469, 469"
